root,IndicativePresent_3p_s,IndicativePresent_3p_p,IndicativePresent_2p_s,IndicativePresent_1p_s,IndicativePresent_1p_p,IndicativePreterite_3p_s,IndicativePreterite_3p_p,IndicativePreterite_2p_s,IndicativePreterite_1p_s,IndicativePreterite_1p_p,PerfectPresent_3p_s,IndicativeImperfect_3p_s,IndicativeImperfect_3p_p,IndicativeImperfect_2p_s,IndicativeImperfect_1p_s,IndicativeImperfect_1p_p,IndicativeFuture_3p_s,IndicativeFuture_3p_p,IndicativeFuture_2p_s,IndicativeFuture_1p_s,IndicativeFuture_1p_p
ser,es,son,eres,soy,somos,fue,fueron,fuiste,fui,fuimos,sido,,,,,,,,,,
ver,ve,ven,ves,veo,vemos,vio,vieron,viste,vi,vimos,,veía,veían,veías,veía,veíamos,,,,,
venir,viene,vienen,vienes,vengo,venimos,vino,vinieron,viniste,vine,vinimos,,,,,,,,,,,
ir,va,van,vas,voy,vamos,fue,fueron,fuiste,fui,fuimos,,iba,iban,ibas,iba,ibamos,,,,,
volver,vuelve,vuelven,vuelves,vuelvo,volvemos,volviÃ³,volvieron,volviste,volvÃ­,volvimos,,,,,,,,,,,
hacer,hace,hacen,haces,hago,hacemos,hizo,hicieron,hiciste,hice,hicimos,,,,,,,,,,,
estar,está,están,estás,estoy,estamos,estuvo,estuvieron,estuviste,estuve,estuvimos,estado,estaba,estaban,estabas,estaba,estábamos,,,,,
tener,tiene,tienen,tienes,tengo,tenemos,tuvo,tuvieron,tuviste,tuve,tuvimos,tenido,tenía,tenían,tenías,tenía,teníamos,tendrá,tendrán,tendrás,tendré,tendremos
llegar,llega,llegan,llegas,llego,llegamos,llegÃ³,llegaron,llegaste,llegue,llegamos,,,,,,,,,,,
llevar,lleva,llevan,llevas,llevo,llevamos,llevÃ³,llevaron,llevaste,lleve,llevemos,,,,,,,,,,,
salir,sale,salen,sales,salgo,salimos,saliÃ³,salieron,saliste,sali,salimos,,,,,,,,,,,
haber,ha,han,has,he,hemos,,,,,,,,,,,,,,,,
hablar,habla,hablan,hablas,hablo,hablamos,habló,hablaron,hablaste,hablé,hablamos,,,,,,,,,,,
comer,come,comen,comes,como,comemos,comiÃ³,comieron,comiste,comi,comimos,,,,,,,,,,,
vivir,vive,viven,vives,vivo,vivimos,vivio,vivieron,viviste,vivi,vivimos,,,,,,,,,,,
decir,dice,dicen,dices,digo,decimos,dijo,dijeron,dijiste,dije,dijimos,dicho,,,,,,,,,,
levantar,levanta,levantan,levantas,levanto,levantamos,levantÃ³,levantaron,levantaste,levante,levantamos,,,,,,,,,,,
querer,quiere,quieren,quieres,quiero,queremos,quiso,quisieron,quisiste,quise,quisimos,,,,,,,,,,,
creer,cree,creen,crees,creo,creemos,creyÃ³,creyeron,creÃ­ste,creÃ­,creÃ­mos,creido,,,,,,,,,,
parecer,parece,parecen,pareces,parezco,paracemos,pareciÃ³,parecieron,pareciste,parecÃ­,paracimos,,,,,,,,,,,
obligar,obliga,obligan,obligas,obligo,obligamos,,,,,,,,,,,,,,,,
saber,sabe,saben,sabes,sÃ©,sabemos,,,,,,,,,,,,sabrá,sabrán,sabrás,sabré,sabremos
doler,duele,duelen,dueles,duelo,dolemos,,,,,,,,,,,,,,,,
poder,puede,pueden,puedes,puedo,podemos,,,,,,,,,,,,,,,,
despertar,despierta,despiertan,despiertas,despierto,despertamos,,,,,,,,,,,,,,,,
gustar,gusta,gustan,gustas,gusto,gustamos,,,,,,,,,,,,,,,,
trabajar,trabaja,trabajan,trabajas,trabajo,trabajamos,trabajÃ³,trabajaron,trabajaste,trabajÃ©,trabajamos,trabajado,,,,,,,,,,
amar,ama,aman,amas,amo,amamos,,,,,,,,,,,,,,,,
dar,da,dan,das,doy,damos,,,,,,,,,,,,,,,,
regalar,regala,regalan,regalas,regalo,regalamos,,,,,,,,,,,,,,,,
olvidar,olvida,olvidan,olvidas,olvido,olvidamos,,,,,,olvidado,,,,,,,,,,
comenzar,comienza,comienzan,comienzas,comienzo,comenzamos,,,,,,,,,,,,,,,,
estudiar,estudia,estudian,estudias,estudio,estudiamos,estudiÃ³,estudiaron,estudiaste,estudiÃ©,estudiamos,estudiado,,,,,,,,,,
cepillar,cepilla,cepillan,cepillas,cepillo,cepillamos,,,,,,,,,,,,,,,,
acostar,acuesta,acuestan,acuestas,acuesto,acostamos,,,,,,,,,,,,,,,,
